CampaignID,CampaignName,Channel,StartDate,EndDate,TargetAudience,Impressions,Clicks,CTRPct,CPC,Spend,Conversions,ConversionRatePct,Revenue,ROAS,CostPerConversion
MKT-7000,Flash Sale 2023,TikTok Ads,2023-01-01,2023-01-14,18-24,492724,15954,3.24,3.73,59508.42,476,2.98,79434.88,1.33,125.02
MKT-7001,Brand Awareness 2023,LinkedIn Ads,2023-01-02,2023-02-06,45-54,225773,7381,3.27,1.94,14319.14,518,7.02,51193.94,3.58,27.64
MKT-7002,Summer Launch 2023,Facebook Ads,2023-01-02,2023-01-11,55+,400350,9168,2.29,1.87,17144.16,115,1.26,3515.55,0.21,149.08
MKT-7003,New Product Drop 2023,TikTok Ads,2023-01-03,2023-02-05,55+,35175,387,1.1,4.1,1586.7,14,3.71,1570.8,0.99,113.34
MKT-7004,Spring Sale 2023,Instagram Ads,2023-01-03,2023-01-17,All Ages,359224,13124,3.65,1.63,21392.12,506,3.86,59338.62,2.77,42.28
MKT-7005,Brand Awareness 2023,TikTok Ads,2023-01-03,2023-01-13,25-34,496151,5616,1.13,1.18,6626.88,119,2.12,9010.68,1.36,55.69
MKT-7006,Brand Awareness 2023,LinkedIn Ads,2023-01-04,2023-01-25,35-44,66796,2565,3.84,1.05,2693.25,158,6.2,24109.22,8.95,17.05
MKT-7007,Lead Gen Sprint 2023,Instagram Ads,2023-01-05,2023-01-26,All Ages,422602,13385,3.17,3.47,46445.95,956,7.15,190349.16,4.1,48.58
MKT-7008,Brand Awareness 2023,Facebook Ads,2023-01-06,2023-02-02,45-54,294333,9053,3.08,0.71,6427.63,554,6.13,30132.06,4.69,11.6
MKT-7009,Brand Awareness 2023,LinkedIn Ads,2023-01-06,2023-01-23,55+,333076,6716,2.02,3.96,26595.36,180,2.69,37859.4,1.42,147.75
MKT-7010,Holiday Promo 2023,Facebook Ads,2023-01-06,2023-02-11,35-44,285506,11527,4.04,0.98,11296.46,746,6.48,48683.96,4.31,15.14
MKT-7011,Retargeting Push 2023,LinkedIn Ads,2023-01-07,2023-01-26,25-34,15342,97,0.64,3.96,384.12,8,8.26,1684.24,4.38,48.02
MKT-7012,Retargeting Push 2023,Instagram Ads,2023-01-08,2023-02-09,18-24,367595,15517,4.22,3.75,58188.75,892,5.75,151238.6,2.6,65.23
MKT-7013,New Product Drop 2023,Google Ads,2023-01-08,2023-01-22,25-34,97522,1564,1.6,3.16,4942.24,77,4.92,15710.31,3.18,64.18
MKT-7014,Lead Gen Sprint 2023,Facebook Ads,2023-01-08,2023-02-14,35-44,311511,10172,3.27,0.37,3763.64,881,8.66,57423.58,15.26,4.27
MKT-7015,Spring Sale 2023,Google Ads,2023-01-08,2023-01-21,55+,85731,892,1.04,1.6,1427.2,28,3.17,1429.4,1.0,50.97
MKT-7016,Year-End Clearance 2023,Facebook Ads,2023-01-10,2023-02-19,All Ages,398103,10517,2.64,2.82,29657.94,833,7.93,112455.0,3.79,35.6
MKT-7017,Spring Sale 2023,Facebook Ads,2023-01-11,2023-01-30,45-54,98632,1620,1.64,3.55,5751.0,72,4.46,10870.56,1.89,79.88
MKT-7018,Spring Sale 2023,Google Ads,2023-01-11,2023-01-25,35-44,46019,1748,3.8,1.01,1765.48,23,1.36,5031.94,2.85,76.76
MKT-7019,New Product Drop 2023,TikTok Ads,2023-01-11,2023-01-20,55+,80130,2067,2.58,2.38,4919.46,95,4.63,2394.95,0.49,51.78
